"Qubit,""T1 (us)"",""T2 (us)"",""Readout assignment error"",""Prob meas0 prep1"",""Prob meas1 prep0"",""Readout length (ns)"",""ID error"",""Single-qubit gate length (ns)"",""RX error"",""Z-axis rotation (rz) error"",""√x (sx) error"",""Pauli-X error"",""XSLOW error"",""CZ error"",""Gate length (ns)"",""RZZ error"",""MEASURE error"",""MEASURE_2 error"",""Operational""";;;;;;
"21,""193.48068720623309"",""236.13929874588322"",""0.0040283203125"",""0.007080078125"",""0.0009765625"",""2280"",""0.00020092569859824335"",""32"",""0.00020092569859824335"",""0"",""0.00020092569859824335"",""0.00020092569859824335"",""0.00020092569859824335"",""36:0.0018022109410544551";20:0.001808260039031312;"22:0.0012566438544938385"",""36:68";0,880555556;"22:68"",""36:0.0012871122548729352";20:0.0016567116599500442;"22:0.0011695790685702923"",""0.0040283203125"",""0.004638671875"",""Yes"""
"22,""181.25127987334793"",""103.36671322910533"",""0.0146484375"",""0.015625"",""0.013671875"",""2280"",""0.00023983821738913797"",""32"",""0.00023983821738913797"",""0"",""0.00023983821738913797"",""0.00023983821738913797"",""0.00023983821738913797"",""23:0.0014935364687877484";"21:0.0012566438544938385"",""23:68";"21:68"",""23:0.0016008255360722423";"21:0.0011695790685702923"",""0.0146484375"",""0.034912109375"",""Yes""";;;
"23,""206.2823834496872"",""60.692609027701"",""0.0069580078125"",""0.01123046875"",""0.002685546875"",""2280"",""0.0001358864262025547"",""32"",""0.0001358864262025547"",""0"",""0.0001358864262025547"",""0.0001358864262025547"",""0.0001358864262025547"",""22:0.0014935364687877484";24:0.001845739685334663;"16:0.001279847383370225"",""22:68";24:68;"16:68"",""22:0.0016008255360722423";24:0.0016162069169880222;"16:0.0012916474607389539"",""0.0069580078125"",""0.007568359375"",""Yes"""
"24,""176.7962739443484"",""50.44338541188364"",""0.0167236328125"",""0.021240234375"",""0.01220703125"",""2280"",""0.00045999853634101027"",""32"",""0.00045999853634101027"",""0"",""0.00045999853634101027"",""0.00045999853634101027"",""0.00045999853634101027"",""23:0.001845739685334663";"25:0.0027151766163162894"",""23:68";"25:68"",""23:0.0016162069169880222";"25:0.0027804700528561987"",""0.0167236328125"",""0.02197265625"",""Yes""";;;
"25,""152.86486255228365"",""22.764464368573023"",""0.007568359375"",""0.011962890625"",""0.003173828125"",""2280"",""0.00023877685284070125"",""32"",""0.00023877685284070125"",""0"",""0.00023877685284070125"",""0.00023877685284070125"",""0.00023877685284070125"",""24:0.0027151766163162894";26:0.001967416430184249;"37:0.006078960244780773"",""24:68";26:68;"37:68"",""24:0.0027804700528561987";26:0.002002467256681073;"37:0.005337703144451672"",""0.007568359375"",""0.008544921875"",""Yes"""
"26,""171.7703488220069"",""104.32574435993314"",""0.011962890625"",""0.016845703125"",""0.007080078125"",""2280"",""0.0003364270569057909"",""32"",""0.0003364270569057909"",""0"",""0.0003364270569057909"",""0.0003364270569057909"",""0.0003364270569057909"",""25:0.001967416430184249";"27:0.0018677801965063245"",""25:68";"27:68"",""25:0.002002467256681073";"27:0.0017092953945138378"",""0.011962890625"",""0.015869140625"",""Yes""";;;
"27,""215.2486290316638"",""49.21566912842677"",""0.0150146484375"",""0.02685546875"",""0.00341796875"",""2280"",""0.00021528963782647254"",""32"",""0.00021528963782647254"",""0"",""0.00021528963782647254"",""0.00021528963782647254"",""0.00021528963782647254"",""26:0.0018677801965063245";28:0.001540755391723686;"17:0.002466157731992019"",""26:68";28:68;"17:68"",""26:0.0017092953945138378";28:0.0015406358967274547;"17:0.002778977890695117"",""0.0150146484375"",""0.021240234375"",""Yes"""
"28,""168.80911478826513"",""188.5969735639134"",""0.0108642578125"",""0.016357421875"",""0.00537109375"",""2280"",""0.0001834606163482752"",""32"",""0.0001834606163482752"",""0"",""0.0001834606163482752"",""0.0001834606163482752"",""0.0001834606163482752"",""27:0.001540755391723686";"29:0.004006046731430374"",""27:68";"29:68"",""27:0.0015406358967274547";"29:0.0025067011422427454"",""0.0108642578125"",""0.028564453125"",""Yes""";;;
"29,""137.1294647274576"",""68.47638339368427"",""0.00634765625"",""0.009033203125"",""0.003662109375"",""2280"",""0.00019275544543586795"",""32"",""0.00019275544543586795"",""0"",""0.00019275544543586795"",""0.00019275544543586795"",""0.00019275544543586795"",""38:0.010836408988313895";28:0.004006046731430374;"30:0.0018266769604694533"",""38:68";28:68;"30:80"",""38:0.004284794272673004";28:0.0025067011422427454;"30:0.0017000025011406072"",""0.00634765625"",""0.0048828125"",""Yes"""
"30,""144.67769191401328"",""62.99318080203983"",""0.00830078125"",""0.013427734375"",""0.003173828125"",""2280"",""0.0003888576447382998"",""32"",""0.0003888576447382998"",""0"",""0.0003888576447382998"",""0.0003888576447382998"",""0.0003888576447382998"",""31:0.0017808778753476695";"29:0.0018266769604694533"",""31:68";"29:80"",""31:0.0020812505485583443";"29:0.0017000025011406072"",""0.00830078125"",""0.009521484375"",""Yes""";;;
